frame,landmark_id,x,y,frame_width,frame_height
29,0,680,-12,1080,1920
29,1,668,-59,1080,1920
29,2,660,-57,1080,1920
29,3,651,-56,1080,1920
29,4,677,-60,1080,1920
29,5,675,-60,1080,1920
29,6,671,-60,1080,1920
29,7,609,-51,1080,1920
29,8,640,-57,1080,1920
29,9,652,30,1080,1920
29,10,659,31,1080,1920
29,11,452,160,1080,1920
29,12,576,80,1080,1920
29,13,341,529,1080,1920
29,14,608,419,1080,1920
29,15,436,775,1080,1920
29,16,888,632,1080,1920
29,17,457,849,1080,1920
29,18,924,722,1080,1920
29,19,467,847,1080,1920
29,20,936,728,1080,1920
29,21,458,817,1080,1920
29,22,924,703,1080,1920
29,23,385,878,1080,1920
29,24,414,868,1080,1920
29,25,414,1422,1080,1920
29,26,428,1443,1080,1920
29,27,307,1922,1080,1920
29,28,220,1911,1080,1920
29,29,251,1987,1080,1920
29,30,135,1960,1080,1920
29,31,407,2072,1080,1920
29,32,292,2077,1080,1920
30,0,676,120,1080,1920
30,1,667,81,1080,1920
30,2,660,79,1080,1920
30,3,652,75,1080,1920
30,4,672,78,1080,1920
30,5,671,75,1080,1920
30,6,669,69,1080,1920
30,7,612,56,1080,1920
30,8,640,53,1080,1920
30,9,651,144,1080,1920
30,10,655,141,1080,1920
30,11,452,212,1080,1920
30,12,576,106,1080,1920
30,13,323,557,1080,1920
30,14,608,419,1080,1920
30,15,424,820,1080,1920
30,16,889,647,1080,1920
30,17,446,895,1080,1920
30,18,924,726,1080,1920
30,19,460,899,1080,1920
30,20,936,733,1080,1920
30,21,448,873,1080,1920
30,22,924,709,1080,1920
30,23,388,922,1080,1920
30,24,414,898,1080,1920
30,25,418,1451,1080,1920
30,26,445,1472,1080,1920
30,27,307,1915,1080,1920
30,28,219,1971,1080,1920
30,29,249,1948,1080,1920
30,30,117,2029,1080,1920
30,31,463,2104,1080,1920
30,32,333,2162,1080,1920
31,0,664,196,1080,1920
31,1,658,155,1080,1920
31,2,653,153,1080,1920
31,3,647,150,1080,1920
31,4,664,152,1080,1920
31,5,664,147,1080,1920
31,6,664,143,1080,1920
31,7,609,133,1080,1920
31,8,638,132,1080,1920
31,9,642,217,1080,1920
31,10,645,214,1080,1920
31,11,462,265,1080,1920
31,12,572,167,1080,1920
31,13,353,615,1080,1920
31,14,615,470,1080,1920
31,15,525,849,1080,1920
31,16,895,708,1080,1920
31,17,503,915,1080,1920
31,18,929,782,1080,1920
31,19,537,912,1080,1920
31,20,937,794,1080,1920
31,21,510,878,1080,1920
31,22,925,773,1080,1920
31,23,417,982,1080,1920
31,24,413,954,1080,1920
31,25,467,1506,1080,1920
31,26,482,1538,1080,1920
31,27,347,1990,1080,1920
31,28,239,2034,1080,1920
31,29,280,2058,1080,1920
31,30,126,2093,1080,1920
31,31,495,2151,1080,1920
31,32,391,2228,1080,1920
32,0,657,226,1080,1920
32,1,648,182,1080,1920
32,2,643,180,1080,1920
32,3,638,178,1080,1920
32,4,656,180,1080,1920
32,5,657,177,1080,1920
32,6,659,173,1080,1920
32,7,598,166,1080,1920
32,8,636,165,1080,1920
32,9,634,250,1080,1920
32,10,639,247,1080,1920
32,11,449,321,1080,1920
32,12,570,213,1080,1920
32,13,408,679,1080,1920
32,14,648,524,1080,1920
32,15,566,880,1080,1920
32,16,914,794,1080,1920
32,17,603,938,1080,1920
32,18,949,859,1080,1920
32,19,610,936,1080,1920
32,20,955,873,1080,1920
32,21,606,917,1080,1920
32,22,941,854,1080,1920
32,23,415,984,1080,1920
32,24,439,947,1080,1920
32,25,524,1521,1080,1920
32,26,536,1569,1080,1920
32,27,411,1988,1080,1920
32,28,368,2065,1080,1920
32,29,332,2099,1080,1920
32,30,259,2131,1080,1920
32,31,544,2173,1080,1920
32,32,538,2260,1080,1920
33,0,651,222,1080,1920
33,1,638,184,1080,1920
33,2,631,183,1080,1920
33,3,626,183,1080,1920
33,4,649,179,1080,1920
33,5,651,176,1080,1920
33,6,654,172,1080,1920
33,7,588,181,1080,1920
33,8,632,169,1080,1920
33,9,627,251,1080,1920
33,10,637,244,1080,1920
33,11,435,357,1080,1920
33,12,570,213,1080,1920
33,13,478,728,1080,1920
33,14,668,544,1080,1920
33,15,702,967,1080,1920
33,16,912,838,1080,1920
33,17,758,1032,1080,1920
33,18,949,917,1080,1920
33,19,771,1024,1080,1920
33,20,957,931,1080,1920
33,21,747,1002,1080,1920
33,22,941,910,1080,1920
33,23,413,994,1080,1920
33,24,467,940,1080,1920
